epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.240715891122818	0.05204594135284424	0.2547445193687228	0.21051453053951263	0.09006824344396591	0.23465715172054752
20.0	0.2912752032279968	0.06501780450344086	0.3039204944801056	0.24944071471691132	0.11004623025655746	0.2768490865530092
30.0	0.2890380620956421	0.06406674534082413	0.30674047303126994	0.25637581944465637	0.11242672055959702	0.284345628308964
40.0	0.2917226254940033	0.0647183284163475	0.3040401856691557	0.2559283971786499	0.1136477068066597	0.28243202427589753
50.0	0.29082775115966797	0.06543926149606705	0.3038394257406736	0.25704696774482727	0.11356163769960403	0.2836412838966729
60.0	0.28143179416656494	0.0631103590130806	0.2940100317309319	0.2514541447162628	0.11072156578302383	0.27715316457402417
70.0	0.28143179416656494	0.06385187804698944	0.29493656479986324	0.24787470698356628	0.10792915523052216	0.27458209882983764
80.0	0.27606266736984253	0.0615970678627491	0.2914251698268121	0.24653242528438568	0.10702469199895859	0.2731834040281587
90.0	0.27024608850479126	0.06152757629752159	0.28425082773903726	0.23959733545780182	0.1041048988699913	0.26607925293612256
100.0	0.2657718062400818	0.05911462381482124	0.27897051380420657	0.23713646829128265	0.1018349751830101	0.2619514792064628
110.0	0.26219239830970764	0.060505226254463196	0.2764538755142375	0.23243845999240875	0.0984080582857132	0.25777479962788546
120.0	0.258165568113327	0.05890417471528053	0.2702328927910508	0.2281879186630249	0.09860154986381531	0.251927583443748
130.0	0.25055932998657227	0.05766410008072853	0.26160037160994837	0.2275167852640152	0.09829681366682053	0.24874459239791358
140.0	0.25369128584861755	0.0581791028380394	0.26327431182529504	0.22863534092903137	0.09809049218893051	0.24941082893714844
150.0	0.24832215905189514	0.05750829353928566	0.2593142001919851	0.22527965903282166	0.0967411994934082	0.24620609057443948
