<http://rdf.freebase.com/ns/m.0kprc8>,489
<http://rdf.freebase.com/ns/m.042fgh>,22
<http://rdf.freebase.com/ns/m.0184tc>,17
<http://rdf.freebase.com/ns/m.03why2r>,15
<http://rdf.freebase.com/ns/m.07l50y8>,15
<http://rdf.freebase.com/ns/m.0dr8s_>,17
<http://rdf.freebase.com/ns/m.04rxsz>,16
<http://rdf.freebase.com/ns/m.02lk60>,73
<http://rdf.freebase.com/ns/m.03hxsv>,51
<http://rdf.freebase.com/ns/m.05nhs9>,15
<http://rdf.freebase.com/ns/m.05zqxpt>,16
<http://rdf.freebase.com/ns/m.01c9d>,17
<http://rdf.freebase.com/ns/m.0813q9>,22
<http://rdf.freebase.com/ns/m.03209l>,20
<http://rdf.freebase.com/ns/m.04jpg2p>,40
<http://rdf.freebase.com/ns/m.0d1n0q>,29
<http://rdf.freebase.com/ns/m.0bnz5h>,20
<http://rdf.freebase.com/ns/m.0n05v>,56
<http://rdf.freebase.com/ns/m.037s6_>,19
<http://rdf.freebase.com/ns/m.01bn3l>,15
<http://rdf.freebase.com/ns/m.0dk285>,15
<http://rdf.freebase.com/ns/m.0pd4f>,15
<http://rdf.freebase.com/ns/m.07yp01>,15
<http://rdf.freebase.com/ns/m.0dj9xw8>,15
<http://rdf.freebase.com/ns/m.03bxp5>,17
<http://rdf.freebase.com/ns/m.026y3vk>,23
<http://rdf.freebase.com/ns/m.0fr63l>,22
<http://rdf.freebase.com/ns/m.04n0kfd>,15
<http://rdf.freebase.com/ns/m.04h3j4>,17
<http://rdf.freebase.com/ns/m.04w4_f>,15
<http://rdf.freebase.com/ns/m.015bpl>,19
<http://rdf.freebase.com/ns/m.04qbcf>,18
<http://rdf.freebase.com/ns/m.04gv3db>,49
<http://rdf.freebase.com/ns/m.03mh94>,21
<http://rdf.freebase.com/ns/m.0bx0l>,21
<http://rdf.freebase.com/ns/m.0jwvf>,50
<http://rdf.freebase.com/ns/m.035t7n>,15
<http://rdf.freebase.com/ns/m.02mptd>,15
<http://rdf.freebase.com/ns/m.0crrc8>,19
<http://rdf.freebase.com/ns/m.0d4htf>,19
<http://rdf.freebase.com/ns/m.03cvqpc>,15
<http://rdf.freebase.com/ns/m.0729rh>,46
<http://rdf.freebase.com/ns/m.03lwq3>,15
<http://rdf.freebase.com/ns/m.011x_4>,16
<http://rdf.freebase.com/ns/m.047vqdd>,16
<http://rdf.freebase.com/ns/m.047v27>,21
<http://rdf.freebase.com/ns/m.07y9w5>,17
<http://rdf.freebase.com/ns/m.08pfr9>,18
<http://rdf.freebase.com/ns/m.02q52q>,29
<http://rdf.freebase.com/ns/m.022lv4>,20
<http://rdf.freebase.com/ns/m.01r35n>,17
<http://rdf.freebase.com/ns/m.06t_bd>,25
<http://rdf.freebase.com/ns/m.057jdv>,19
<http://rdf.freebase.com/ns/m.025rvx0>,18
<http://rdf.freebase.com/ns/m.037j_8>,20
<http://rdf.freebase.com/ns/m.01mr29>,16
